School Year,Topic,Grade,District,District Name,Proficient,Total,% Proficient,Proficient Category,District Office Location
2011,Reading,8,6098,South Tama County,67.0,106.0,63.2,60.1 - 70%,"1702 Harding St
Tama, Iowa 523391028
(41.975800787, -92.581643967)"
2011,Reading,5,1953,Earlham,49.0,57.0,86.0,80.1 - 90%,"535 N Chestnut Ave
Earlham, Iowa 50072
(41.495707827001, -94.12303199)"
2011,Math,3,3186,Janesville,15.0,17.0,88.2,80.1 - 90%,"505 Barrick Rd
Janesville, Iowa 50647
(42.649545181, -92.457859168)"
2011,Math,6,4773,Northeast,52.0,57.0,91.2,90.1 - 100%,"1450 370th Ave
Goose Lake, Iowa 52750
(41.967391117, -90.373692002)"
2011,Reading,8,5139,Paton-Churdan,11.0,14.0,78.6,70.1 - 80%,"606 Adrian St
Churdan, Iowa 500500157
(42.15890722, -94.47660096)"
2011,Math,11,5877,Sergeant Bluff-Luton,83.0,111.0,74.8,70.1 - 80%,"201 Port Neal Road
Sergeant Bluff, Iowa 51054
(42.398882789, -96.355522509)"
2011,Math,5,6408,Tipton,53.0,61.0,86.9,80.1 - 90%,"400 E 6th St
Tipton, Iowa 52772
(41.769111389001, -91.119193238)"
2011,Reading,3,1206,Clarion-Goldfield,32.0,40.0,80.0,70.1 - 80%,"319 3rd Ave NE
Clarion, Iowa 505251113
(42.734357124001, -93.735960712)"
2011,Reading,6,6768,Washington,74.0,112.0,66.1,60.1 - 70%,"404 West Main
Washington, Iowa 52353
(41.299488564, -91.695850367)"
2011,Reading,3,5463,Red Oak,58.0,71.0,81.7,80.1 - 90%,"2011 North 8th
Red Oak, Iowa 51566
(41.021899053, -95.223325144)"
2011,Math,4,1944,Eagle Grove,45.0,52.0,86.5,80.1 - 90%,"325 N Commercial
Eagle Grove, Iowa 50533
(42.667098434, -93.904557978)"
2011,Reading,3,1062,Center Point-Urbana,96.0,122.0,78.7,70.1 - 80%,"102 Trader
Center Point, Iowa 522130296
(42.187011739, -91.784729321)"
2011,Math,3,6615,Van Meter,37.0,43.0,86.1,80.1 - 90%,"520 1st Ave
Van Meter, Iowa 50261
(41.529258443, -93.953005731)"
2011,Reading,6,1413,Coon Rapids-Bayard,31.0,37.0,83.8,80.1 - 90%,"905 North St
Coon Rapids, Iowa 50058
(41.877042762, -94.683929629)"
2011,Math,4,2367,Fremont,15.0,19.0,79.0,70.1 - 80%,"525 East Main Street
Fremont, Iowa 52561
(41.212602281001, -92.431703726)"
2011,Math,7,1337,College,251.0,297.0,84.5,80.1 - 90%,"401 76th Ave SW
Cedar Rapids, Iowa 52404
(41.905052988, -91.668080376)"
2011,Math,7,657,Eddyville-Blakesburg,35.0,54.0,64.8,60.1 - 70%,"222 Walnut
Eddyville, Iowa 52553
(41.1565658, -92.637079862)"
2011,Math,5,5742,Sac,42.0,67.0,62.7,60.1 - 70%,"400 S 16th St
Sac City, Iowa 50583
(42.418390154, -95.002601057)"
2011,Math,5,6101,Southeast Polk,367.0,421.0,87.2,80.1 - 90%,"8379 NE University Ave
Pleasant Hill, Iowa 50327
(41.600356215, -93.434241935)"
2011,Reading,11,729,Boone,119.0,165.0,72.1,70.1 - 80%,"500 7th St
Boone, Iowa 50036
(42.06263502, -93.88660689)"
2011,Reading,7,2493,Gilmore City-Bradgate,17.0,23.0,73.9,70.1 - 80%,"402 SE E Ave
Gilmore City, Iowa 50541
(42.727185195, -94.440758867)"
2011,Math,6,1089,Central City,27.0,35.0,77.1,70.1 - 80%,"400 Barber Street
Central City, Iowa 52214
(42.208386567001, -91.525280395)"
2011,Math,3,6943,West Central,8.0,11.0,72.7,70.1 - 80%,"305 Pember
Maynard, Iowa 506550054
(42.770692026, -91.880399823)"
2011,Math,5,6943,West Central,15.0,16.0,93.8,90.1 - 100%,"305 Pember
Maynard, Iowa 506550054
(42.770692026, -91.880399823)"
2011,Math,5,6957,West Des Moines,529.0,605.0,87.4,80.1 - 90%,"3550 Mills Civic Parkway
West Des Moines, Iowa 50265
(41.567672939, -93.75682047)"
2011,Reading,8,3600,Le Mars,138.0,174.0,79.3,70.1 - 80%,"940 Lincoln Street SW
Le Mars, Iowa 51031
(42.781304542001, -96.181023216)"
2011,Reading,8,7047,Winfield-Mt Union,20.0,35.0,57.1,50.1 - 60%,"208 S Olive
Winfield, Iowa 526590285
(41.126881357, -91.439346674)"
2011,Reading,3,3420,Lake Mills,47.0,58.0,81.0,80.1 - 90%,"102 S 4th Ave E
Lake Mills, Iowa 50450
(43.415622304, -93.532427647)"
2011,Reading,11,4527,Mount Ayr,28.0,35.0,80.0,70.1 - 80%,"1001 E Columbus St
Mount Ayr, Iowa 50854
(40.718249217, -94.227191155)"
2011,Reading,7,3942,Madrid,33.0,52.0,63.5,60.1 - 70%,"201 N. Main
Madrid, Iowa 50156
(41.877793971, -93.822980389)"
2011,Math,6,1719,Denver,46.0,56.0,82.1,80.1 - 90%,"520 Lincoln Street
Denver, Iowa 50622
(42.668694447, -92.331104046)"
2011,Math,8,333,Armstrong-Ringsted,20.0,25.0,80.0,70.1 - 80%,"600 4th Ave
Armstrong, Iowa 50514
(43.398390173, -94.480124267)"
